CMDLINE E:\annaconda\python.exe no_mask_train.py
MEM 191.398438 1642041440.1046
MEM 199.656250 1642041440.2147
MEM 211.617188 1642041440.3267
MEM 219.984375 1642041440.4387
MEM 225.527344 1642041440.5507
MEM 226.050781 1642041440.6628
MEM 220.113281 1642041440.7748
MEM 220.519531 1642041440.8868
MEM 212.152344 1642041440.9988
MEM 210.894531 1642041441.1109
MEM 214.589844 1642041441.2229
MEM 220.226562 1642041441.3349
MEM 219.644531 1642041441.4459
MEM 221.644531 1642041441.5570
MEM 220.949219 1642041441.6690
MEM 200.960938 1642041441.7810
MEM 211.429688 1642041441.8930
MEM 214.593750 1642041442.0051
MEM 210.175781 1642041442.1151
MEM 211.914062 1642041442.2271
MEM 220.769531 1642041442.3391
MEM 228.753906 1642041442.4512
MEM 225.683594 1642041442.5622
MEM 224.992188 1642041442.6732
MEM 211.988281 1642041442.7852
MEM 219.761719 1642041442.8973
MEM 226.304688 1642041443.0093
MEM 221.171875 1642041443.1213
MEM 227.441406 1642041443.2333
MEM 195.730469 1642041443.3454
MEM 185.992188 1642041443.4574
MEM 172.695312 1642041443.5694
MEM 185.171875 1642041443.6804
MEM 181.921875 1642041443.7915
MEM 163.136719 1642041443.9035
MEM 168.363281 1642041444.0155
MEM 165.542969 1642041444.1256
MEM 172.964844 1642041444.2376
MEM 179.738281 1642041444.3476
MEM 188.777344 1642041444.4596
MEM 189.277344 1642041444.5717
MEM 180.000000 1642041444.6837
MEM 178.644531 1642041444.7937
MEM 189.410156 1642041444.9057
MEM 189.953125 1642041445.0178
MEM 198.738281 1642041445.1288
MEM 210.730469 1642041445.2398
MEM 211.203125 1642041445.3498
MEM 225.210938 1642041445.4619
MEM 228.996094 1642041445.5739
MEM 204.398438 1642041445.6859
MEM 205.406250 1642041445.7979
MEM 187.117188 1642041445.9100
MEM 162.757812 1642041446.0220
MEM 162.761719 1642041446.1340
MEM 172.546875 1642041446.2441
MEM 178.964844 1642041446.3561
MEM 179.351562 1642041446.4681
MEM 182.968750 1642041446.5801
MEM 190.191406 1642041446.6922
MEM 199.089844 1642041446.8042
MEM 199.839844 1642041446.9162
MEM 199.558594 1642041447.0282
MEM 211.007812 1642041447.1403
MEM 220.164062 1642041447.2523
MEM 221.207031 1642041447.3643
MEM 204.726562 1642041447.4763
MEM 185.179688 1642041447.5884
MEM 186.914062 1642041447.7004
MEM 192.656250 1642041447.8104
MEM 195.679688 1642041447.9204
MEM 185.187500 1642041448.0305
MEM 185.187500 1642041448.1405
MEM 162.578125 1642041448.2525
MEM 167.789062 1642041448.3605
MEM 169.140625 1642041448.4726
MEM 168.410156 1642041448.5846
MEM 169.933594 1642041448.6946
MEM 162.546875 1642041448.8066
MEM 167.742188 1642041448.9187
MEM 169.781250 1642041449.0307
MEM 172.546875 1642041449.1427
MEM 177.949219 1642041449.2547
MEM 172.421875 1642041449.3658
MEM 183.214844 1642041449.4768
MEM 182.613281 1642041449.5888
MEM 183.558594 1642041449.7008
MEM 176.984375 1642041449.8109
MEM 178.039062 1642041449.9229
MEM 172.214844 1642041450.0349
MEM 169.277344 1642041450.1459
MEM 179.679688 1642041450.2570
MEM 190.636719 1642041450.3670
MEM 198.273438 1642041450.4770
MEM 200.964844 1642041450.5890
MEM 202.187500 1642041450.7011
MEM 201.453125 1642041450.8131
MEM 200.285156 1642041450.9251
MEM 204.695312 1642041451.0372
MEM 211.394531 1642041451.1492
MEM 221.386719 1642041451.2612
MEM 226.675781 1642041451.3732
MEM 226.781250 1642041451.4853
MEM 205.707031 1642041451.5973
MEM 207.125000 1642041451.7093
MEM 207.519531 1642041451.8213
MEM 185.152344 1642041451.9334
MEM 163.925781 1642041452.0454
MEM 168.941406 1642041452.1574
MEM 169.265625 1642041452.2684
MEM 178.789062 1642041452.3795
MEM 189.906250 1642041452.4905
MEM 200.917969 1642041452.6015
MEM 204.742188 1642041452.7135
MEM 204.746094 1642041452.8256
MEM 220.601562 1642041452.9376
MEM 212.199219 1642041453.0496
MEM 225.890625 1642041453.1596
MEM 207.519531 1642041453.2717
MEM 185.152344 1642041453.3837
MEM 163.925781 1642041453.4957
MEM 167.023438 1642041453.6078
MEM 173.707031 1642041453.7198
MEM 162.121094 1642041453.8318
MEM 163.359375 1642041453.9438
MEM 163.359375 1642041454.0559
MEM 163.359375 1642041454.1679
MEM 163.414062 1642041454.2779
MEM 165.871094 1642041454.3899
MEM 163.359375 1642041454.5000
